loc_id,weather,2017-02-01,2017-02-02,2017-02-03,2017-02-04,2017-02-05,2017-02-06,2017-02-07,2017-02-08,2017-02-09,2017-02-10,2017-02-11,2017-02-12,2017-02-13,2017-02-14,2017-02-15,2017-02-16,2017-02-17,2017-02-18,2017-02-19,2017-02-20,2017-02-21,2017-02-22,2017-02-23,2017-02-24,2017-02-25,2017-02-26,2017-02-27,2017-02-28,2017-03-01
81cea1e224ad183b751acce139f4e276,apparentTemperatureMax,,,43.63,44.86,36.72,40.04,47.24,35.93,28.93,28.04,29.28,34.26,42.99,50.55,50.68,51.63,52.92,52.86,52.35,60.55,55.01,54.08,50.46,43.58,43.51,51.67,42.12,37.83,42.04
81cea1e224ad183b751acce139f4e276,apparentTemperatureMaxTime,,,1486080000,1486220400,1486306800,1486389600,1486479600,1486555200,1486648800,1486742400,1486854000,1486936800,1486994400,1487084400,1487156400,1487257200,1487336400,1487430000,1487516400,1487599200,1487685600,1487764800,1487833200,1487948400,1488031200,1488110400,1488153600,1488322800,1488373200
81cea1e224ad183b751acce139f4e276,apparentTemperatureMin,,,32.88,33.96,33.66,30.58,35.19,30.86,27.14,26.67,25.26,27.08,30.77,29.69,40.85,39.52,38.69,36.74,32.65,45.71,45.65,50.36,34.49,30.04,36.25,41.58,30.73,27.73,34.61
81cea1e224ad183b751acce139f4e276,apparentTemperatureMinTime,,,1486159200,1486166400,1486270800,1486364400,1486425600,1486594800,1486670400,1486760400,1486800000,1486890000,1486969200,1487048400,1487199600,1487224800,1487372400,1487458800,1487473200,1487559600,1487660400,1487804400,1487890800,1487919600,1487980800,1488150000,1488236400,1488265200,1488409200
81cea1e224ad183b751acce139f4e276,cloudCover,,,0.69,0.31,0.5,0.42,0.56,0.88,1,0.92,1,1,0.14,0.53,0.7,0.53,0.41,0.56,0.69,0.81,0.9,0.95,0.69,0.24,0.68,0.86,0.63,0.59,0.72
81cea1e224ad183b751acce139f4e276,dewPoint,,,42.14,37.3,37.71,35.66,39.93,35.68,31.78,32.56,32.08,34.89,36.87,38.76,45.66,42.64,42.88,41.46,42.3,49.68,48.69,48.49,39.76,31.58,42.42,46.15,40.59,34.82,38.86
81cea1e224ad183b751acce139f4e276,humidity,,,0.87,0.88,0.93,0.9,0.88,0.89,0.88,0.94,0.92,0.92,0.83,0.84,0.95,0.87,0.87,0.88,0.88,0.88,0.88,0.88,0.74,0.69,0.86,0.89,0.88,0.83,0.82
81cea1e224ad183b751acce139f4e276,icon,,,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-night,partly-cloudy-day,partly-cloudy-day,fog,fog,cloudy,fog,clear-day,partly-cloudy-night,fog,partly-cloudy-day,partly-cloudy-day,fog,partly-cloudy-day,partly-cloudy-day,cloudy,wind,wind,partly-cloudy-day,cloudy,wind,partly-cloudy-day,partly-cloudy-night,wind
81cea1e224ad183b751acce139f4e276,moonPhase,,,0.23,0.27,0.3,0.34,0.38,0.41,0.45,0.49,0.52,0.55,0.59,0.62,0.65,0.68,0.71,0.74,0.77,0.8,0.83,0.86,0.89,0.93,0.96,0.99,0.03,0.06,0.1
81cea1e224ad183b751acce139f4e276,precipType,,,rain,rain,rain,rain,rain,rain,rain,rain,snow,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
81cea1e224ad183b751acce139f4e276,pressure,,,994.81,997.28,1003.34,1017.21,1014.23,1025.96,1027.43,1023.73,1022.36,1022,1021.16,1022.97,1027.79,1029.71,1027.94,1025.21,1022.68,1019.13,1016.4,1008.96,999.1,1016.2,1013.93,1006.24,990.47,988.92,998.56
